IncidentNumber,DateTimeCall,DeployedFromStation_Name,DeployedFromLocation,PlusCode_Description,IncidentGroup,StopCodeDescription,PropertyCategory,Postcode_district,IncGeo_BoroughName,IncGeo_WardNameNew,Easting_rounded,Northing_rounded,IncidentStationGround,FirstPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,TotalResponseTime,NumCalls_bins,NumCalls_bins_encoded,Month,Year,WeekDay,Day_of_Month,is_weekend,Hour,BankHoliday,DateOfCall,CalYear,TimeOfCall,HourOfCall,SpecialServiceType,PropertyType,AddressQualifier,Postcode_full,UPRN,USRN,IncGeo_BoroughCode,ProperCase,IncGeo_WardCode,IncGeo_WardName,Easting_m,Northing_m,Latitude,Longitude,FRS,FirstPumpArriving_AttendanceTime,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
235138081,2009-01-01 00:02:27,Battersea,0.0,Initial Mobilisation,Special Service,Special Service,Road Vehicle,SW11,WANDSWORTH,Battersea Park,528650,176850,Battersea,Battersea,2.0,2.0,319.0,1,0.0,1.0,2009.0,3.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2091,2009-01-01 00:04:09,Edmonton,0.0,Initial Mobilisation,Fire,Secondary Fire,Outdoor,N9,ENFIELD,Haselbury,533750,194450,Edmonton,Edmonton,1.0,1.0,308.0,2,1.0,1.0,2009.0,3.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3091,2009-01-01 00:04:57,Hillingdon,0.0,Initial Mobilisation,Fire,Secondary Fire,Outdoor,UB10,HILLINGDON,Hillingdon East,507750,182850,Hillingdon,Hillingdon,1.0,1.0,210.0,2,1.0,1.0,2009.0,3.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5091,2009-01-01 00:06:04,Holloway,0.0,Initial Mobilisation,Fire,Secondary Fire,Outdoor,N7,ISLINGTON,Laycock,531050,185350,Holloway,Holloway,1.0,2.0,233.0,1,0.0,1.0,2009.0,3.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6091,2009-01-01 00:06:30,Kentish Town,0.0,Initial Mobilisation,False Alarm,AFA,Dwelling,NW5,CAMDEN,Kentish Town North,529450,185250,Kentish Town,Kentish Town,1.0,2.0,172.0,1,0.0,1.0,2009.0,3.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8091,2009-01-01 00:13:34,East Greenwich,0.0,Initial Mobilisation,Special Service,Special Service,Road Vehicle,SE3,GREENWICH,Kidbrooke Village & Sutcliffe,541050,175650,Lee Green,East Greenwich,1.0,1.0,522.0,1,0.0,1.0,2009.0,3.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9091,2009-01-01 00:14:12,Heston,0.0,Initial Mobilisation,Fire,Secondary Fire,Outdoor Structure,TW3,HOUNSLOW,Hounslow South,514550,174950,Heston,Heston,1.0,2.0,342.0,1,0.0,1.0,2009.0,3.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10091,2009-01-01 00:15:41,Clerkenwell,0.0,Initial Mobilisation,Fire,Secondary Fire,Outdoor Structure,EC1V,ISLINGTON,St. Peter's & Canalside,531950,182650,Shoreditch,Clerkenwell,1.0,1.0,255.0,2,1.0,1.0,2009.0,3.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11091,2009-01-01 00:15:42,Euston,0.0,Initial Mobilisation,False Alarm,AFA,Other Residential,WC1B,CAMDEN,Bloomsbury,529950,181750,Soho,Euston,1.0,1.0,297.0,1,0.0,1.0,2009.0,3.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14091,2009-01-01 00:18:40,Peckham,0.0,Initial Mobilisation,Special Service,Special Service,Dwelling,SE5,SOUTHWARK,St. Giles,532850,177050,Peckham,Peckham,1.0,1.0,256.0,1,0.0,1.0,2009.0,3.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
